geometry,config,alpha_command_deg,leflap_deg,flap_deg,aileron_deg,elevator_deg,rudder_deg,Alpha,Beta,CL,CLtot_raw,CL_from_CX_CZ,CXtot,CZtot,CDi,CDtot_AVL,CDvis_AVL,Cm,Xnp,CLa,Cma,e,Xref_ft,Cref_ft,X_LEMAC_ft,Mach,altitude_ft,file
full_aircraft,landing,-2.0,20.0,45.0,0.0,0.0,0.0,-2.0,0.0,1.4472,1.4472,1.4471922414510945,-0.38471,-1.43464,0.3344025,0.3344,0.0,-0.2104,,,,0.713,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_m2p000.ft
full_aircraft,landing,-1.0,20.0,45.0,0.0,0.0,0.0,-1.0,0.0,1.50503,1.50503,1.5050291282127166,-0.37974,-1.49863,0.3535283,0.35353,0.0,-0.2272,,,,0.733,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_m1p000.ft
full_aircraft,landing,0.0,20.0,45.0,0.0,0.0,0.0,0.0,0.0,1.56176,1.56176,1.56176,-0.37315,-1.56176,0.3731529,0.37315,0.0,-0.24388,,,,0.7515,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p0p000.ft
full_aircraft,landing,1.0,20.0,45.0,0.0,0.0,0.0,1.0,0.0,1.61732,1.61732,1.6173234103429832,-0.36495,-1.62394,0.3932355,0.39324,0.0,-0.26042,,,,0.7686,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p1p000.ft
full_aircraft,landing,2.0,20.0,45.0,0.0,0.0,0.0,2.0,0.0,1.67168,1.67168,1.671679275350952,-0.35514,-1.6851,0.4137334,0.41373,0.0,-0.27681,,,,0.7845,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p2p000.ft
full_aircraft,landing,3.0,20.0,45.0,0.0,0.0,0.0,3.0,0.0,1.7248,1.7248,1.7247983298640375,-0.34374,-1.74518,0.4346024,0.4346,0.0,-0.29302,,,,0.7991,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p3p000.ft
full_aircraft,landing,4.0,20.0,45.0,0.0,0.0,0.0,4.0,0.0,1.77662,1.77662,1.7766226761776391,-0.33076,-1.80409,0.4557968,0.4558,0.0,-0.30903,,,,0.8127,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p4p000.ft
full_aircraft,landing,5.0,20.0,45.0,0.0,0.0,0.0,5.0,0.0,1.82712,1.82712,1.8271159237050514,-0.31621,-1.86176,0.4772695,0.47727,0.0,-0.32482,,,,0.8254,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p5p000.ft
full_aircraft,landing,6.0,20.0,45.0,0.0,0.0,0.0,6.0,0.0,1.87625,1.87625,1.8762512007668577,-0.30012,-1.91813,0.4989723,0.49897,0.0,-0.34038,,,,0.8371,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p6p000.ft
full_aircraft,landing,7.0,20.0,45.0,0.0,0.0,0.0,7.0,0.0,1.92399,1.92399,1.923984573214571,-0.2825,-1.97312,0.5208558,0.52086,0.0,-0.35569,,,,0.848,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p7p000.ft
full_aircraft,landing,8.0,20.0,45.0,0.0,0.0,0.0,8.0,0.0,1.9703,1.9703,1.9702925672766263,-0.26337,-2.02667,0.5428696,0.54287,0.0,-0.37072,,,,0.8582,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p8p000.ft
full_aircraft,landing,9.0,20.0,45.0,0.0,0.0,0.0,9.0,0.0,2.01515,2.01515,2.015149912284108,-0.24277,-2.07872,0.5649625,0.56496,0.0,-0.38546,,,,0.8677,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p9p000.ft
full_aircraft,landing,10.0,20.0,45.0,0.0,0.0,0.0,10.0,0.0,2.05852,2.05852,2.058516930343195,-0.22071,-2.12919,0.5870827,0.58708,0.0,-0.39989,,,,0.8765,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p10p000.ft
full_aircraft,landing,11.0,20.0,45.0,0.0,0.0,0.0,11.0,0.0,2.10038,2.10038,2.100384012386307,-0.19721,-2.17803,0.6091778,0.60918,0.0,-0.41399,,,,0.8848,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p11p000.ft
full_aircraft,landing,12.0,20.0,45.0,0.0,0.0,0.0,12.0,0.0,2.14072,2.14072,2.1407271356391333,-0.17232,-2.22518,0.6311948,0.63119,0.0,-0.42775,,,,0.8925,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p12p000.ft
full_aircraft,landing,13.0,20.0,45.0,0.0,0.0,0.0,13.0,0.0,2.17952,2.17952,2.1795190870019465,-0.14606,-2.27057,0.6530807,0.65308,0.0,-0.44114,,,,0.8998,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p13p000.ft
full_aircraft,landing,14.0,20.0,45.0,0.0,0.0,0.0,14.0,0.0,2.21677,2.21677,2.216773612342342,-0.11845,-2.31417,0.6747822,0.67478,0.0,-0.45416,,,,0.9065,26.52,13.81721,22.868,0.25,0.0,full_landing_alpha_p14p000.ft
