geometry,config,alpha_command_deg,leflap_deg,flap_deg,aileron_deg,elevator_deg,rudder_deg,Alpha,Beta,CL,CLtot_raw,CL_from_CX_CZ,CXtot,CZtot,CDi,CDtot_AVL,CDvis_AVL,Cm,Xnp,CLa,Cma,e,Xref_ft,Cref_ft,X_LEMAC_ft,Mach,altitude_ft,file
full_aircraft,takeoff,-2.0,15.0,35.0,0.0,0.0,0.0,-2.0,0.0,1.07464,1.07464,1.0746402278120049,-0.22695,-1.06737,0.1895647,0.18956,0.0,-0.15451,,,,0.6979,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_m2p000.ft
full_aircraft,takeoff,-1.0,15.0,35.0,0.0,0.0,0.0,-1.0,0.0,1.13476,1.13476,1.1347599222080453,-0.22359,-1.13103,0.2038148,0.20381,0.0,-0.17128,,,,0.7251,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_m1p000.ft
full_aircraft,takeoff,0.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,1.19406,1.19406,1.19406,-0.2187,-1.19406,0.2186953,0.2187,0.0,-0.18797,,,,0.7497,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p0p000.ft
full_aircraft,takeoff,1.0,15.0,35.0,0.0,0.0,0.0,1.0,0.0,1.25247,1.25247,1.2524738519251288,-0.21228,-1.25637,0.2341753,0.23418,0.0,-0.20456,,,,0.7719,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p1p000.ft
full_aircraft,takeoff,2.0,15.0,35.0,0.0,0.0,0.0,2.0,0.0,1.30995,1.30995,1.3099554648690401,-0.20435,-1.31789,0.2502222,0.25022,0.0,-0.22103,,,,0.792,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p2p000.ft
full_aircraft,takeoff,3.0,15.0,35.0,0.0,0.0,0.0,3.0,0.0,1.36645,1.36645,1.3664494342496958,-0.19492,-1.37854,0.266801,0.2668,0.0,-0.23735,,,,0.8102,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p3p000.ft
full_aircraft,takeoff,4.0,15.0,35.0,0.0,0.0,0.0,4.0,0.0,1.4219,1.4219,1.4219013284767705,-0.184,-1.43824,0.2838753,0.28388,0.0,-0.25351,,,,0.8266,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p4p000.ft
full_aircraft,takeoff,5.0,15.0,35.0,0.0,0.0,0.0,5.0,0.0,1.47628,1.47628,1.4762786755164061,-0.17159,-1.49693,0.3014068,0.30141,0.0,-0.26948,,,,0.8416,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p5p000.ft
full_aircraft,takeoff,6.0,15.0,35.0,0.0,0.0,0.0,6.0,0.0,1.52954,1.52954,1.5295367927145886,-0.15773,-1.55454,0.3193554,0.31936,0.0,-0.28526,,,,0.8551,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p6p000.ft
full_aircraft,takeoff,7.0,15.0,35.0,0.0,0.0,0.0,7.0,0.0,1.58163,1.58163,1.5816265116383263,-0.14241,-1.61099,0.3376799,0.33768,0.0,-0.30081,,,,0.8675,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p7p000.ft
full_aircraft,takeoff,8.0,15.0,35.0,0.0,0.0,0.0,8.0,0.0,1.63251,1.63251,1.632514577900928,-0.12567,-1.66622,0.3563372,0.35634,0.0,-0.31612,,,,0.8788,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p8p000.ft
full_aircraft,takeoff,9.0,15.0,35.0,0.0,0.0,0.0,9.0,0.0,1.68215,1.68215,1.6821522653936007,-0.10752,-1.72015,0.3752832,0.37528,0.0,-0.33117,,,,0.8891,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p9p000.ft
full_aircraft,takeoff,10.0,15.0,35.0,0.0,0.0,0.0,10.0,0.0,1.73051,1.73051,1.730510833248665,-0.08798,-1.77272,0.3944726,0.39447,0.0,-0.34594,,,,0.8986,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p10p000.ft
full_aircraft,takeoff,11.0,15.0,35.0,0.0,0.0,0.0,11.0,0.0,1.77757,1.77757,1.7775707199366668,-0.06708,-1.82388,0.413859,0.41386,0.0,-0.36042,,,,0.9072,26.52,13.81721,22.868,0.25,0.0,full_takeoff_alpha_p11p000.ft
