AOA_deg,CL,CD,CSF,CMx,CMy,CMz
-4.0,-0.190508,0.031137,-0.008912,-0.119823,0.086538,-0.008509
-3.0,-0.142866,0.025226,-0.008937,-0.089762,0.064704,-0.00856
-2.0,-0.095144,0.020995,-0.008972,-0.059819,0.043016,-0.008604
-1.0,-0.047391,0.018447,-0.008999,-0.030002,0.021455,-0.00863
0.0,0.000379,0.017586,-0.009,-0.000263,-3.6e-05,-0.008626
1.0,0.048205,0.018413,-0.008966,0.02951,-0.021564,-0.008585
2.0,0.096119,0.020932,-0.008905,0.059426,-0.043235,-0.008515
3.0,0.144083,0.025147,-0.008838,0.089487,-0.065089,-0.00843
4.0,0.19196,0.031052,-0.008783,0.119674,-0.087067,-0.008343
5.0,0.239737,0.038645,-0.00876,0.149971,-0.109223,-0.008266
6.0,0.287318,0.047918,-0.008781,0.180316,-0.131529,-0.008208
7.0,0.334627,0.058859,-0.008852,0.210648,-0.153976,-0.008168
8.0,0.381438,0.071435,-0.008972,0.240801,-0.176416,-0.008148
