AOA_deg,CL,CD,CSF,CMx,CMy,CMz
-4.0,-0.324899,0.018081,0.013653,-0.203826,0.100801,0.011899
-3.0,-0.236875,0.008212,0.011922,-0.148753,0.069409,0.010586
-2.0,-0.15214,0.001619,0.010527,-0.0965,0.041687,0.009385
-1.0,-0.070404,-0.002006,0.009595,-0.046683,0.017097,0.008495
0.0,0.009379,-0.003039,0.009279,0.001599,-0.005762,0.008175
1.0,0.089259,-0.001656,0.00964,0.049986,-0.02872,0.008513
2.0,0.171308,0.002329,0.010623,0.100076,-0.053606,0.009417
3.0,0.256799,0.009325,0.012061,0.152806,-0.081888,0.010621
4.0,0.346752,0.019742,0.013816,0.209137,-0.114566,0.011918
5.0,0.441197,0.03396,0.015756,0.269445,-0.15204,0.013121
6.0,0.538144,0.052133,0.01769,0.332459,-0.193645,0.014006
7.0,0.635825,0.074173,0.019495,0.396948,-0.238417,0.014471
8.0,0.73372,0.100081,0.021048,0.461872,-0.285933,0.014438
