AOA_deg,CL,CD,CSF,CMx,CMy,CMz
-4,-0.234848,0.00107,0.015273,-0.154025,0.067139,0.011588
-3,-0.173349,-0.004329,0.013481,-0.115092,0.048916,0.010257
-2,-0.112168,-0.0081,0.012179,-0.076457,0.031041,0.009277
-1,-0.051202,-0.010282,0.011396,-0.038037,0.013405,0.008675
0,0.009679,-0.010898,0.011146,0.000295,-0.004122,0.008462
1,0.07065,-0.009958,0.011431,0.038707,-0.021688,0.008642
2,0.131876,-0.007445,0.012249,0.077355,-0.039435,0.009217
3,0.193487,-0.00333,0.013592,0.116361,-0.057492,0.010179
4,0.255604,0.002441,0.01543,0.155823,-0.075982,0.011499
5,0.318331,0.009941,0.017716,0.195809,-0.095009,0.013127
6,0.381727,0.019264,0.020393,0.236339,-0.114649,0.015003
7,0.445773,0.030517,0.023397,0.277337,-0.134929,0.017054
8,0.510335,0.043807,0.026659,0.318633,-0.155833,0.019196
9,0.575136,0.059235,0.030104,0.359929,-0.177295,0.021332
10,0.639782,0.076898,0.033657,0.400795,-0.19924,0.023338
11,0.703713,0.096865,0.037231,0.440677,-0.221601,0.025062
