AOA_deg,CL,CD,CSF,CMx,CMy,CMz
-4.0,-0.250916,0.008086,0.012055,-0.160349,0.068929,0.009355
-3.0,-0.185303,0.002111,0.010261,-0.119439,0.050004,0.007972
-2.0,-0.120235,-0.002049,0.008924,-0.079081,0.031577,0.006927
-1.0,-0.055605,-0.004467,0.008109,-0.039191,0.01354,0.006285
0.0,0.008738,-0.005181,0.007854,0.000387,-0.004256,0.006075
1.0,0.073133,-0.004207,0.008167,0.040009,-0.022069,0.006306
2.0,0.137925,-0.001526,0.009042,0.080033,-0.040164,0.006973
3.0,0.203292,0.00291,0.010445,0.120646,-0.058713,0.008049
4.0,0.269391,0.009189,0.012307,0.161974,-0.077856,0.009467
5.0,0.33631,0.017438,0.014536,0.20404,-0.097663,0.011132
6.0,0.404024,0.027828,0.017028,0.246742,-0.118163,0.012931
7.0,0.47233,0.040535,0.019667,0.289815,-0.139335,0.014733
8.0,0.54083,0.055713,0.022333,0.332809,-0.161111,0.016391
9.0,0.608824,0.073484,0.024908,0.374973,-0.183371,0.017734
