AOA_deg,CL,CD,CSF,CMx,CMy,CMz
-4.0,-0.291085,0.012262,0.01328,-0.182972,0.077792,0.011535
-3.0,-0.214325,0.004973,0.011338,-0.135496,0.056433,0.009707
-2.0,-0.138962,-4.4e-05,0.009855,-0.089116,0.035486,0.008346
-1.0,-0.064658,-0.002934,0.008919,-0.043671,0.015023,0.007496
0.0,0.008942,-0.003788,0.008618,0.001102,-0.005037,0.007221
1.0,0.082616,-0.002645,0.008979,0.045944,-0.025131,0.00754
2.0,0.15711,0.000542,0.00998,0.091568,-0.045678,0.008439
3.0,0.232708,0.005877,0.01152,0.138183,-0.06676,0.009839
4.0,0.309594,0.013505,0.013492,0.185836,-0.088204,0.011684
5.0,0.389275,0.023855,0.015841,0.23618,-0.111154,0.013884
6.0,0.471339,0.037483,0.018267,0.288787,-0.136635,0.016005
7.0,0.555888,0.054735,0.020665,0.343951,-0.165587,0.017861
8.0,0.640648,0.075467,0.022918,0.399264,-0.196757,0.019325
