AOA_deg,CL,CD,CSF,CMx,CMy,CMz
-4.0,-0.234848,0.00107,0.015273,-0.648676,0.63435,0.071717
-3.0,-0.173349,-0.004329,0.013481,-0.484709,0.465388,0.063423
-2.0,-0.112168,-0.0081,0.012179,-0.321998,0.298485,0.057343
-1.0,-0.051202,-0.010282,0.011396,-0.160192,0.132992,0.053632
0.0,0.009679,-0.010898,0.011146,0.001242,-0.031881,0.05236
1.0,0.07065,-0.009958,0.011431,0.163013,-0.197057,0.053545
2.0,0.131876,-0.007445,0.012249,0.325781,-0.363422,0.057194
3.0,0.193487,-0.00333,0.013592,0.490056,-0.531754,0.063261
4.0,0.255604,0.002441,0.01543,0.65625,-0.702799,0.071576
5.0,0.318331,0.009941,0.017716,0.824651,-0.877199,0.081864
6.0,0.381727,0.019264,0.020393,0.995342,-1.055428,0.093783
7.0,0.445773,0.030517,0.023397,1.168003,-1.237638,0.106926
8.0,0.510335,0.043807,0.026659,1.341921,-1.423637,0.120841
9.0,0.575136,0.059235,0.030104,1.51584,-1.612827,0.135003
10.0,0.639782,0.076898,0.033657,1.687947,-1.804409,0.148784
11.0,0.703713,0.096865,0.037231,1.855911,-1.997376,0.161407
