AOA_deg,CL,CD,CSF,CMx,CMy,CMz
-4.0,-0.190508,0.031137,-0.008912,-0.504633,0.652834,-0.049206
-3.0,-0.142866,0.025226,-0.008937,-0.378031,0.488527,-0.049457
-2.0,-0.095144,0.020995,-0.008972,-0.251927,0.324919,-0.049698
-1.0,-0.047391,0.018447,-0.008999,-0.126352,0.16193,-0.049847
0.0,0.000379,0.017586,-0.009,-0.001108,-0.000722,-0.049829
1.0,0.048205,0.018413,-0.008966,0.124282,-0.163609,-0.049608
2.0,0.096119,0.020932,-0.008905,0.250271,-0.3273,-0.049222
3.0,0.144083,0.025147,-0.008838,0.376873,-0.491967,-0.048761
4.0,0.19196,0.031052,-0.008783,0.504005,-0.657226,-0.048313
5.0,0.239737,0.038645,-0.00876,0.631602,-0.82335,-0.047953
6.0,0.287318,0.047918,-0.008781,0.759399,-0.990145,-0.047741
7.0,0.334627,0.058859,-0.008852,0.887143,-1.157527,-0.047681
8.0,0.381438,0.071435,-0.008972,1.014136,-1.32459,-0.047775
