AOA_deg,CL,CD,CSF,CMx,CMy,CMz
-4.0,-0.324899,0.018081,0.013653,-0.858415,0.91267,0.070597
-3.0,-0.236875,0.008212,0.011922,-0.626472,0.647855,0.062468
-2.0,-0.15214,0.001619,0.010527,-0.406408,0.403766,0.055317
-1.0,-0.070404,-0.002006,0.009595,-0.196606,0.177562,0.050172
0.0,0.009379,-0.003039,0.009279,0.006734,-0.038338,0.048351
1.0,0.089259,-0.001656,0.00964,0.210516,-0.254807,0.050316
2.0,0.171308,0.002329,0.010623,0.42147,-0.482736,0.055597
3.0,0.256799,0.009325,0.012061,0.643544,-0.730349,0.062825
4.0,0.346752,0.019742,0.013816,0.880782,-1.003523,0.070919
5.0,0.441197,0.03396,0.015756,1.134768,-1.304162,0.078899
6.0,0.538144,0.052133,0.01769,1.400153,-1.62666,0.085527
7.0,0.635825,0.074173,0.019495,1.671745,-1.964466,0.09019
8.0,0.73372,0.100081,0.021048,1.945175,-2.315183,0.092385
