AOA_deg,CL,CD,CSF,CMx,CMy,CMz
-4.0,-0.291085,0.012262,0.01328,-0.770588,0.764551,0.068504
-3.0,-0.214325,0.004973,0.011338,-0.570643,0.559167,0.05789
-2.0,-0.138962,-4.4e-05,0.009855,-0.375313,0.357802,0.049934
-1.0,-0.064658,-0.002934,0.008919,-0.183921,0.160185,0.044951
0.0,0.008942,-0.003788,0.008618,0.004642,-0.034629,0.04334
1.0,0.082616,-0.002645,0.008979,0.193492,-0.2297,0.045228
2.0,0.15711,0.000542,0.00998,0.385638,-0.427969,0.050513
3.0,0.232708,0.005877,0.01152,0.581958,-0.630271,0.058719
4.0,0.309594,0.013505,0.013492,0.782648,-0.836231,0.069448
5.0,0.389275,0.023855,0.015841,0.994672,-1.053049,0.082237
6.0,0.471339,0.037483,0.018267,1.216227,-1.284586,0.094811
7.0,0.555888,0.054735,0.020665,1.448549,-1.535156,0.106224
8.0,0.640648,0.075467,0.022918,1.681498,-1.796203,0.115773
