geometry,config,alpha_command_deg,leflap_deg,flap_deg,aileron_deg,elevator_deg,rudder_deg,Alpha,Beta,CL,CLtot_raw,CL_from_CX_CZ,CXtot,CZtot,CDi,CDtot_AVL,CDvis_AVL,Cm,Xnp,CLa,Cma,e,Xref_ft,Cref_ft,X_LEMAC_ft,Mach,altitude_ft,file
wing_only,takeoff,-2.0,15.0,35.0,0.0,0.0,0.0,-2.0,0.0,1.36108,1.36108,1.3610793523683455,-0.28347,-1.35201,0.2361158,0.23612,0.0,-0.47709,,,,0.8417,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_m2p000.ft
wing_only,takeoff,-1.0,15.0,35.0,0.0,0.0,0.0,-1.0,0.0,1.41362,1.41362,1.4136194433238536,-0.27813,-1.40898,0.2534963,0.2535,0.0,-0.48629,,,,0.8521,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_m1p000.ft
wing_only,takeoff,0.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,1.46513,1.46513,1.46513,-0.27138,-1.46513,0.2713834,0.27138,0.0,-0.49521,,,,0.8614,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p0p000.ft
wing_only,takeoff,1.0,15.0,35.0,0.0,0.0,0.0,1.0,0.0,1.51556,1.51556,1.5155642657682753,-0.26324,-1.52039,0.2897391,0.28974,0.0,-0.50382,,,,0.87,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p1p000.ft
wing_only,takeoff,2.0,15.0,35.0,0.0,0.0,0.0,2.0,0.0,1.56487,1.56487,1.5648760410953413,-0.25372,-1.57469,0.3085241,0.30852,0.0,-0.51213,,,,0.8778,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p2p000.ft
wing_only,takeoff,3.0,15.0,35.0,0.0,0.0,0.0,3.0,0.0,1.61302,1.61302,1.613020197144582,-0.24283,-1.62796,0.3276972,0.3277,0.0,-0.52011,,,,0.8849,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p3p000.ft
wing_only,takeoff,4.0,15.0,35.0,0.0,0.0,0.0,4.0,0.0,1.65996,1.65996,1.6599628156876207,-0.23058,-1.68014,0.3472162,0.34722,0.0,-0.52775,,,,0.8915,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p4p000.ft
wing_only,takeoff,5.0,15.0,35.0,0.0,0.0,0.0,5.0,0.0,1.70566,1.70566,1.7056613604871194,-0.21698,-1.73116,0.3670371,0.36704,0.0,-0.53506,,,,0.8975,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p5p000.ft
wing_only,takeoff,6.0,15.0,35.0,0.0,0.0,0.0,6.0,0.0,1.75009,1.75009,1.7500926387061715,-0.20206,-1.78097,0.3871151,0.38712,0.0,-0.54202,,,,0.9031,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p6p000.ft
wing_only,takeoff,7.0,15.0,35.0,0.0,0.0,0.0,7.0,0.0,1.79322,1.79322,1.79321620434282,-0.18583,-1.8295,0.407404,0.4074,0.0,-0.54861,,,,0.9082,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p7p000.ft
wing_only,takeoff,8.0,15.0,35.0,0.0,0.0,0.0,8.0,0.0,1.83501,1.83501,1.8350118599847165,-0.16831,-1.8767,0.4278568,0.42786,0.0,-0.55485,,,,0.913,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p8p000.ft
wing_only,takeoff,9.0,15.0,35.0,0.0,0.0,0.0,9.0,0.0,1.87544,1.87544,1.875440753581337,-0.14952,-1.9225,0.4484257,0.44843,0.0,-0.5607,,,,0.9174,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p9p000.ft
wing_only,takeoff,10.0,15.0,35.0,0.0,0.0,0.0,10.0,0.0,1.91448,1.91448,1.9144834264859707,-0.12949,-1.96685,0.469062,0.46906,0.0,-0.56618,,,,0.9215,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p10p000.ft
wing_only,takeoff,11.0,15.0,35.0,0.0,0.0,0.0,11.0,0.0,1.95212,1.95212,1.952122984915213,-0.10824,-2.0097,0.4897166,0.48972,0.0,-0.57126,,,,0.9254,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p11p000.ft
wing_only,takeoff,12.0,15.0,35.0,0.0,0.0,0.0,12.0,0.0,1.98833,1.98833,1.9883342036737726,-0.08579,-2.05099,0.5103399,0.51034,0.0,-0.57596,,,,0.929,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p12p000.ft
wing_only,takeoff,13.0,15.0,35.0,0.0,0.0,0.0,13.0,0.0,2.0231,2.0231,2.023108550486094,-0.06218,-2.09068,0.5308819,0.53088,0.0,-0.58025,,,,0.9323,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p13p000.ft
wing_only,takeoff,14.0,15.0,35.0,0.0,0.0,0.0,14.0,0.0,2.05642,2.05642,2.056425498147637,-0.03742,-2.12871,0.5512926,0.55129,0.0,-0.58414,,,,0.9355,26.52,13.81721,22.868,0.25,0.0,wingonly_takeoff_alpha_p14p000.ft
